"","X","dem_age","dem_gender","dem_ethnicity","dem_employment","dem_education","car_ownership","bike_ownership","bikeshare_use","bike_to_work","dest_parking","cycling_frequ","cycling_history","cycle_frequ_history","maintenance","escort","use_cycleway","use_cycleway_frequ","route_change","perception_safety","perception_speed","perception_stress","perception_safety2","perception_speed2","perception_stress2","leave_cycleway","car_changes","walk_changes","perception_safety_all","perception_speed_all","perception_stress_all","purpose_dummy","safety_gear_dummy","x_purpose_work","x_purpose_shopping","x_purpose_hobby","x_purpose_social","x_purpose_leisure","x_purpose_multi-mode","x_purpose_other","x_purpose_education","x_safety_gear_2","x_safety_gear_0","x_safety_gear_1","x_safety_gear_4","x_safety_gear_3","x_leave_reason_NA","x_leave_reason_cyclists","x_leave_reason_trafficlight","x_leave_reason_roadquality","x_leave_reason_pedestrians","x_leave_reason_roadside","x_leave_reason_other","x_leave_reason_busstop","x_leave_reason_intersection","x_stress_source_car","x_stress_source_intersection","x_stress_source_cyclist","x_stress_source_bus","x_stress_source_pedestrian","x_primary_purpose_work","x_primary_purpose_leisure","x_primary_purpose_shopping","x_primary_purpose_other","x_primary_purpose_social","x_primary_purpose_education","x_primary_purpose_hobby","x_primary_purpose_multi-mode"
"38",38,2,1,1,2,4,2,1,1,1,2,2,5,NA,2,0,1,2,0,-1,-2,2,NA,NA,NA,0,NA,NA,-1,-2,2,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"39",39,2,1,1,2,4,3,1,1,0,2,3,5,NA,2,0,1,3,3,NA,NA,NA,2,-1,-2,1,NA,NA,2,-1,-2,5,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"40",40,2,1,1,2,4,2,0,1,0,1,0,NA,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,4,1,1,2,4,2,1,0,0,1,2,2,NA,2,0,1,2,3,NA,NA,NA,2,-1,-2,0,-1,NA,2,-1,-2,3,2,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"42",42,2,1,1,2,3,0,1,1,1,2,3,5,NA,2,0,1,0,0,2,-2,-2,NA,NA,NA,0,NA,2,2,-2,-2,4,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"43",43,2,1,1,2,4,2,1,0,0,2,1,5,NA,2,0,1,1,2,-2,-1,-2,NA,NA,NA,0,NA,NA,-2,-1,-2,4,2,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"44",44,1,1,1,1,3,0,1,1,0,2,3,4,NA,2,0,1,0,2,2,-1,-1,NA,NA,NA,1,NA,-2,2,-1,-1,4,2,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"45",45,3,0,1,2,4,2,1,0,1,2,2,5,NA,2,0,1,2,0,2,-2,-1,NA,NA,NA,0,-2,-1,2,-2,-1,4,2,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"46",46,4,1,1,2,4,2,1,0,0,1,3,5,NA,2,0,1,2,0,-1,-1,-1,NA,NA,NA,1,-2,-2,-1,-1,-1,4,2,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"47",47,2,1,1,2,4,1,1,0,0,2,3,4,NA,2,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"48",48,3,0,1,2,4,0,1,0,1,2,0,NA,1,2,0,1,0,0,-1,-1,-1,NA,NA,NA,1,NA,NA,-1,-1,-1,2,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"49",49,2,1,1,2,4,3,1,0,1,2,2,5,NA,2,0,1,0,0,2,-1,-1,NA,NA,NA,0,NA,NA,2,-1,-1,4,4,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"50",50,3,1,1,2,4,2,1,0,1,2,2,5,NA,2,2,1,0,0,-1,-1,-1,NA,NA,NA,1,-1,-1,-1,-1,-1,3,3,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"51",51,3,1,1,2,4,2,1,0,1,2,1,5,NA,2,2,1,1,0,-1,-1,-2,NA,NA,NA,0,NA,NA,-1,-1,-2,3,3,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"52",52,2,1,0,NA,4,0,0,1,0,1,3,1,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"53",53,3,1,1,2,4,1,1,1,1,2,3,5,NA,2,0,1,3,0,2,-1,-1,NA,NA,NA,0,NA,NA,2,-1,-1,5,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"54",54,4,1,1,2,4,0,1,1,1,2,2,5,NA,2,0,1,0,2,2,-2,-2,NA,NA,NA,1,NA,NA,2,-2,-2,3,3,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"55",55,3,1,1,2,4,2,1,0,1,2,1,5,NA,2,0,1,1,0,2,-1,-2,NA,NA,NA,1,NA,NA,2,-1,-2,1,4,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,2,1,1,2,4,2,1,0,1,2,2,4,NA,2,0,1,0,0,-2,-2,-1,NA,NA,NA,1,2,2,-2,-2,-1,2,3,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"57",57,2,1,1,2,4,2,0,1,1,2,2,5,NA,2,0,1,2,0,-1,-2,-1,NA,NA,NA,0,NA,NA,-1,-2,-1,2,4,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"58",58,5,NA,1,2,4,2,1,0,1,2,0,NA,1,2,0,1,0,0,-1,-1,-2,NA,NA,NA,0,-1,2,-1,-1,-2,2,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"59",59,3,1,1,2,4,2,0,1,0,2,1,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,2,0,1,2,4,2,1,0,0,2,2,5,NA,2,0,1,1,3,NA,NA,NA,-1,-1,-1,1,-1,-2,-1,-1,-1,3,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"61",61,3,1,1,2,4,2,1,0,1,2,3,5,NA,2,0,1,2,0,-2,-2,-1,NA,NA,NA,1,NA,NA,-2,-2,-1,3,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"62",62,2,0,1,2,4,2,1,1,1,2,3,4,NA,2,0,1,3,2,2,-1,-2,NA,NA,NA,1,NA,NA,2,-1,-2,5,3,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"63",63,2,1,1,2,4,3,1,0,1,2,3,5,NA,2,0,1,3,0,-1,-1,-1,NA,NA,NA,1,NA,-2,-1,-1,-1,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"64",64,3,1,1,2,4,2,1,0,1,2,3,4,NA,2,2,1,2,3,NA,NA,NA,2,-1,-2,0,NA,NA,2,-1,-2,3,4,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"65",65,3,1,1,2,3,1,1,0,1,2,3,4,NA,2,0,1,3,0,2,-2,-1,NA,NA,NA,0,2,2,2,-2,-1,3,4,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"66",66,4,1,1,NA,4,1,1,0,0,2,3,5,NA,2,0,1,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"67",67,2,1,1,2,4,0,0,1,0,1,3,4,NA,0,0,1,0,3,NA,NA,NA,2,2,-1,0,NA,NA,2,2,-1,3,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"68",68,3,1,1,2,4,3,1,0,1,2,1,5,NA,2,0,1,0,0,-1,-2,-1,NA,NA,NA,1,-2,-2,-1,-2,-1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"69",69,2,1,1,2,4,2,1,0,1,2,1,4,NA,2,0,1,1,0,-1,-2,-1,NA,NA,NA,1,-1,-2,-1,-2,-1,3,3,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"70",70,3,1,0,2,4,2,1,0,0,1,2,5,NA,2,0,1,0,3,NA,NA,NA,-2,-2,2,1,NA,NA,-2,-2,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,4,0,1,2,4,2,1,1,1,2,3,5,NA,2,0,1,1,2,2,-1,-2,NA,NA,NA,0,NA,NA,2,-1,-2,4,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
